src	dest
GENE0000	GENE0031
GENE0000	GENE0043
GENE0000	GENE0050
GENE0000	GENE0086
GENE0001	GENE0025
GENE0001	GENE0094
GENE0001	GENE0097
GENE0002	GENE0007
GENE0002	GENE0010
GENE0002	GENE0058
GENE0002	GENE0070
GENE0002	GENE0095
GENE0002	GENE0098
GENE0003	GENE0027
GENE0003	GENE0036
GENE0003	GENE0037
GENE0003	GENE0045
GENE0003	GENE0047
GENE0004	GENE0024
GENE0004	GENE0050
GENE0004	GENE0055
GENE0004	GENE0058
GENE0004	GENE0073
GENE0005	GENE0060
GENE0005	GENE0088
GENE0005	GENE0099
GENE0006	GENE0019
GENE0006	GENE0021
GENE0006	GENE0026
GENE0006	GENE0053
GENE0006	GENE0096
GENE0007	GENE0016
GENE0007	GENE0029
GENE0007	GENE0053
GENE0007	GENE0085
GENE0007	GENE0086
GENE0007	GENE0092
GENE0008	GENE0033
GENE0008	GENE0060
GENE0009	GENE0088
GENE0009	GENE0097
GENE0010	GENE0019
GENE0011	GENE0066
GENE0012	GENE0087
GENE0013	GENE0029
GENE0013	GENE0078
GENE0014	GENE0054
GENE0014	GENE0068
GENE0014	GENE0076
GENE0015	GENE0056
GENE0015	GENE0072
GENE0015	GENE0082
GENE0016	GENE0040
GENE0016	GENE0056
GENE0016	GENE0092
GENE0017	GENE0027
GENE0017	GENE0048
GENE0017	GENE0076
GENE0017	GENE0083
GENE0018	GENE0028
GENE0018	GENE0049
GENE0018	GENE0060
GENE0018	GENE0067
GENE0018	GENE0081
GENE0018	GENE0085
GENE0019	GENE0057
GENE0019	GENE0060
GENE0019	GENE0069
GENE0019	GENE0081
GENE0019	GENE0082
GENE0020	GENE0040
GENE0020	GENE0046
GENE0020	GENE0050
GENE0021	GENE0027
GENE0021	GENE0034
GENE0021	GENE0042
GENE0021	GENE0072
GENE0021	GENE0085
GENE0022	GENE0073
GENE0022	GENE0089
GENE0023	GENE0028
GENE0023	GENE0039
GENE0023	GENE0055
GENE0023	GENE0081
GENE0024	GENE0093
GENE0024	GENE0099
GENE0025	GENE0050
GENE0025	GENE0068
GENE0026	GENE0045
GENE0026	GENE0050
GENE0026	GENE0067
GENE0026	GENE0095
GENE0027	GENE0037
GENE0027	GENE0094
GENE0028	GENE0053
GENE0029	GENE0031
GENE0029	GENE0044
GENE0029	GENE0094
GENE0030	GENE0057
GENE0030	GENE0077
GENE0030	GENE0082
GENE0030	GENE0099
GENE0031	GENE0042
GENE0031	GENE0050
GENE0031	GENE0052
GENE0031	GENE0054
GENE0032	GENE0058
GENE0032	GENE0060
GENE0032	GENE0067
GENE0032	GENE0068
GENE0033	GENE0051
GENE0033	GENE0080
GENE0033	GENE0083
GENE0033	GENE0092
GENE0034	GENE0045
GENE0034	GENE0088
GENE0034	GENE0090
GENE0035	GENE0049
GENE0035	GENE0095
GENE0036	GENE0076
GENE0036	GENE0091
GENE0036	GENE0093
GENE0037	GENE0058
GENE0038	GENE0060
GENE0038	GENE0083
GENE0038	GENE0085
GENE0039	GENE0076
GENE0039	GENE0096
GENE0040	GENE0047
GENE0040	GENE0057
GENE0040	GENE0077
GENE0040	GENE0087
GENE0042	GENE0075
GENE0043	GENE0062
GENE0043	GENE0080
GENE0043	GENE0085
GENE0043	GENE0087
GENE0043	GENE0094
GENE0044	GENE0053
GENE0044	GENE0072
GENE0045	GENE0048
GENE0045	GENE0083
GENE0045	GENE0093
GENE0046	GENE0048
GENE0046	GENE0067
GENE0048	GENE0051
GENE0048	GENE0054
GENE0048	GENE0088
GENE0048	GENE0092
GENE0049	GENE0081
GENE0049	GENE0089
GENE0049	GENE0093
GENE0051	GENE0059
GENE0052	GENE0062
GENE0052	GENE0071
GENE0052	GENE0087
GENE0053	GENE0094
GENE0054	GENE0068
GENE0054	GENE0090
GENE0054	GENE0098
GENE0055	GENE0077
GENE0055	GENE0079
GENE0056	GENE0069
GENE0056	GENE0080
GENE0056	GENE0083
GENE0056	GENE0086
GENE0056	GENE0093
GENE0057	GENE0097
GENE0058	GENE0076
GENE0058	GENE0098
GENE0060	GENE0063
GENE0061	GENE0062
GENE0061	GENE0084
GENE0061	GENE0090
GENE0062	GENE0063
GENE0062	GENE0093
GENE0063	GENE0075
GENE0063	GENE0078
GENE0063	GENE0080
GENE0064	GENE0085
GENE0065	GENE0072
GENE0065	GENE0080
GENE0066	GENE0082
GENE0067	GENE0068
GENE0067	GENE0091
GENE0068	GENE0090
GENE0070	GENE0074
GENE0072	GENE0081
GENE0072	GENE0086
GENE0072	GENE0088
GENE0074	GENE0099
GENE0075	GENE0082
GENE0076	GENE0078
GENE0076	GENE0082
GENE0076	GENE0099
GENE0078	GENE0094
GENE0079	GENE0092
GENE0080	GENE0097
GENE0081	GENE0088
GENE0082	GENE0096
